# P(k)  H0=0.71 Om0=0.267804 Ob0=0.0444356 Ol0=0.73 Sigma8=1 n_s=1
# k  P_E+H_wOsc(k)  P_E+H_noOsc(k)  P_this_simul(k) 
       0.247       1273.57       1271.07       1273.57
       0.248       1263.89       1260.64       1263.89
       0.249       1254.25       1250.34       1254.25
        0.25       1244.66       1240.16       1244.66
       0.251       1235.09       1230.09       1235.09
       0.252       1225.56       1220.14       1225.56
       0.253       1216.04        1210.3       1216.04
       0.254       1206.54       1200.57       1206.54
       0.255       1197.06       1190.95       1197.06
       0.256        1187.6       1181.44        1187.6
       0.257       1178.17       1172.04       1178.17
       0.258       1168.76       1162.75       1168.76
       0.259       1159.39       1153.55       1159.39
        0.26       1150.07       1144.46       1150.07
       0.261       1140.79       1135.47       1140.79
       0.262       1131.58       1126.58       1131.58
       0.263       1122.45       1117.79       1122.45
       0.264       1113.39        1109.1       1113.39
       0.265       1104.43        1100.5       1104.43
       0.266       1095.56       1091.99       1095.56
       0.267       1086.81       1083.58       1086.81
       0.268       1078.17       1075.25       1078.17
       0.269       1069.65       1067.02       1069.65
        0.27       1061.26       1058.88       1061.26
       0.271          1053       1050.82          1053
       0.272       1044.87       1042.85       1044.87
       0.273       1036.87       1034.97       1036.87
       0.274       1029.01       1027.17       1029.01
       0.275       1021.28       1019.45       1021.28
       0.276       1013.68       1011.81       1013.68
       0.277        1006.2       1004.26        1006.2
       0.278        998.85       996.779        998.85
       0.279       991.613       989.381       991.613
        0.28       984.486       982.061       984.486
       0.281       977.463       974.816       977.463
       0.282       970.536       967.647       970.536
       0.283       963.699       960.552       963.699
       0.284       956.945        953.53       956.945
       0.285       950.267       946.581       950.267
       0.286       943.658       939.703       943.658
       0.287       937.112       932.895       937.112
       0.288       930.623       926.157       930.623
       0.289       924.186       919.487       924.186
        0.29       917.796       912.885       917.796
       0.291       911.449        906.35       911.449
       0.292       905.143        899.88       905.143
       0.293       898.874       893.476       898.874
       0.294       892.641       887.136       892.641
       0.295       886.442       880.859       886.442
       0.296       880.279       874.644       880.279
       0.297        874.15       868.492        874.15
       0.298       868.056         862.4       868.056
       0.299           862       856.368           862
         0.3       855.982       850.396       855.982
       0.301       850.006       844.483       850.006
       0.302       844.072       838.627       844.072
       0.303       838.185       832.829       838.185
       0.304       832.346       827.087       832.346
       0.305       826.557         821.4       826.557
       0.306       820.823       815.769       820.823
       0.307       815.144       810.192       815.144
       0.308       809.524       804.669       809.524
       0.309       803.963       799.199       803.963
        0.31       798.464       793.781       798.464
       0.311       793.028       788.415       793.028
       0.312       787.655         783.1       787.655
       0.313       782.347       777.836       782.347
       0.314       777.102       772.621       777.102
       0.315       771.922       767.456       771.922
       0.316       766.805       762.339       766.805
       0.317        761.75        757.27        761.75
       0.318       756.757       752.249       756.757
       0.319       751.822       747.274       751.822
        0.32       746.946       742.346       746.946
       0.321       742.124       737.464       742.124
       0.322       737.356       732.626       737.356
       0.323       732.639       727.834       732.639
       0.324       727.971       723.086       727.971
       0.325        723.35       718.381        723.35
       0.326       718.772       713.719       718.772
       0.327       714.236         709.1       714.236
       0.328        709.74       704.523        709.74
       0.329       705.282       699.988       705.282
        0.33        700.86       695.493        700.86
       0.331       696.472        691.04       696.472
       0.332       692.117       686.626       692.117
       0.333       687.793       682.252       687.793
       0.334       683.501       677.918       683.501
       0.335       679.238       673.622       679.238
       0.336       675.005       669.364       675.005
       0.337       670.801       665.145       670.801
       0.338       666.626       660.963       666.626
       0.339       662.481       656.818       662.481
        0.34       658.365       652.709       658.365
       0.341       654.278       648.637       654.278
       0.342       650.221         644.6       650.221
       0.343       646.196       640.599       646.196
       0.344       642.201       636.633       642.201
       0.345       638.238       632.701       638.238
       0.346       634.308       628.803       634.308
       0.347       630.411        624.94       630.411
       0.348       626.548       621.109       626.548
       0.349       622.719       617.312       622.719
        0.35       618.924       613.547       618.924
       0.351       615.165       609.815       615.165
       0.352       611.441       606.115       611.441
       0.353       607.752       602.446       607.752
       0.354       604.098       598.809       604.098
       0.355       600.479       595.202       600.479
       0.356       596.896       591.626       596.896
       0.357       593.347       588.081       593.347
       0.358       589.833       584.565       589.833
       0.359       586.352       581.079       586.352
        0.36       582.904       577.622       582.904
       0.361       579.489       574.194       579.489
       0.362       576.105       570.794       576.105
       0.363       572.753       567.423       572.753
       0.364        569.43        564.08        569.43
       0.365       566.136       560.765       566.136
       0.366       562.871       557.477       562.871
       0.367       559.633       554.216       559.633
       0.368       556.422       550.983       556.422
       0.369       553.236       547.775       553.236
        0.37       550.076       544.594       550.076
       0.371        546.94       541.439        546.94
       0.372       543.828        538.31       543.828
       0.373       540.739       535.206       540.739
       0.374       537.672       532.127       537.672
       0.375       534.628       529.074       534.628
       0.376       531.605       526.044       531.605
       0.377       528.604        523.04       528.604
       0.378       525.625       520.059       525.625
       0.379       522.666       517.103       522.666
        0.38       519.729        514.17       519.729
       0.381       516.812        511.26       516.812
       0.382       513.917       508.374       513.917
       0.383       511.042        505.51       511.042
       0.384       508.189       502.669       508.189
       0.385       505.356       499.851       505.356
       0.386       502.545       497.055       502.545
       0.387       499.755       494.281       499.755
       0.388       496.987       491.529       496.987
       0.389        494.24       488.798        494.24
        0.39       491.515       486.089       491.515
       0.391       488.811         483.4       488.811
       0.392        486.13       480.733        486.13
       0.393       483.469       478.086       483.469
       0.394       480.831        475.46       480.831
       0.395       478.214       472.855       478.214
       0.396       475.619       470.269       475.619
       0.397       473.044       467.703       473.044
       0.398       470.491       465.157       470.491
       0.399       467.959        462.63       467.959
         0.4       465.448       460.123       465.448
       0.401       462.957       457.635       462.957
       0.402       460.486       455.166       460.486
       0.403       458.035       452.715       458.035
       0.404       455.604       450.283       455.604
       0.405       453.191       447.869       453.191
       0.406       450.798       445.474       450.798
       0.407       448.422       443.097       448.422
       0.408       446.065       440.737       446.065
       0.409       443.725       438.395       443.725
        0.41       441.402       436.071       441.402
       0.411       439.097       433.764       439.097
       0.412       436.808       431.474       436.808
       0.413       434.535       429.201       434.535
       0.414       432.278       426.946       432.278
       0.415       430.038       424.706       430.038
       0.416       427.812       422.483       427.812
       0.417       425.602       420.277       425.602
       0.418       423.408       418.087       423.408
       0.419       421.228       415.913       421.228
        0.42       419.063       413.754       419.063
       0.421       416.913       411.612       416.913
       0.422       414.777       409.485       414.777
       0.423       412.656       407.374       412.656
       0.424        410.55       405.278        410.55
       0.425       408.458       403.197       408.458
       0.426       406.381       401.131       406.381
       0.427       404.318        399.08       404.318
       0.428        402.27       397.043        402.27
       0.429       400.236       395.022       400.236
        0.43       398.216       393.015       398.216
       0.431       396.211       391.022       396.211
       0.432        394.22       389.043        394.22
       0.433       392.244       387.079       392.244
       0.434       390.282       385.128       390.282
       0.435       388.334       383.191       388.334
       0.436         386.4       381.268         386.4
       0.437        384.48       379.359        384.48
       0.438       382.575       377.463       382.575
       0.439       380.683        375.58       380.683
        0.44       378.805        373.71       378.805
       0.441        376.94       371.854        376.94
       0.442       375.089        370.01       375.089
       0.443       373.252        368.18       373.252
       0.444       371.427       366.362       371.427
       0.445       369.616       364.557       369.616
       0.446       367.818       362.764       367.818
       0.447       366.032       360.983       366.032
       0.448       364.258       359.215       364.258
       0.449       362.497        357.46       362.497
        0.45       360.748       355.716       360.748
       0.451       359.011       353.984       359.011
       0.452       357.285       352.264       357.285
       0.453       355.571       350.556       355.571
       0.454       353.869       348.859       353.869
       0.455       352.177       347.174       352.177
       0.456       350.497         345.5       350.497
       0.457       348.828       343.838       348.828
